Material Typ;Material Typ;Kategorie;UUID;Name;MaterialTemplatesID;Bezugsgröße;Bezugseinheit;Dichte [kg/m3];Flächendichte [kg/m2];Längengewicht [kg/m];Umrechnungsfaktor auf 1kg;Wärmeleitfähigkeit [W/m*K];spez. Wärmekapazität [kJ/kg*K];EPD Modul;GWP;ODP;POCP;AP;EP;PENRT;PENRM;PENRE;PERT;PERM;PERE;ADPE;ADPF;costs;WDVS;weblink oekobaudat;weblink erw. Stoffeigen;weblink Kosten
Beschichtungen;Beschichtungen;Reaktionsharze;adfb3558-77a7-4493-bcf4-2eff5b6dc24d;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit niedrigem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;A1 - A3;5.99;4.75E-08;0.00189;0.009;0.00127;122;30;92;3.03;0;3.03;1.14E-05;120;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=adfb3558-77a7-4493-bcf4-2eff5b6dc24d;;
Beschichtungen;Beschichtungen;Reaktionsharze;adfb3558-77a7-4493-bcf4-2eff5b6dc24d;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit niedrigem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;A4;0.0251;1.35E-12;-6.85E-05;0.000159;3.95E-05;0.347;;;0.0138;;;1.20E-09;0.347;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=adfb3558-77a7-4493-bcf4-2eff5b6dc24d;;
Beschichtungen;Beschichtungen;Reaktionsharze;adfb3558-77a7-4493-bcf4-2eff5b6dc24d;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit niedrigem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;A5;0.0908;3.84E-12;0.00722;1.25E-05;2.51E-06;0.0255;;;0.00187;;;1.60E-09;0.0255;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=adfb3558-77a7-4493-bcf4-2eff5b6dc24d;;
Beschichtungen;Beschichtungen;Reaktionsharze;adfb3558-77a7-4493-bcf4-2eff5b6dc24d;Abdichtungen im Verbund auf Basis von Epoxidharzen, ungefüllt, lösemittelfrei mit niedrigem Gehalt an Reaktivverdünnern;;1;kg;;;;1;;;D;-0.157;-1.00E-10;-7.22E-05;-0.000491;-4.10E-05;-1.93;;;-0.0341;;;-6.80E-09;-1.93;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=adfb3558-77a7-4493-bcf4-2eff5b6dc24d;;
Beschichtungen;Beschichtungen;Reaktionsharze;ac2df709-316a-4126-aa13-a9ab0964447e;Abdichtungen im Verbund auf Basis von Epoxidharzen, wässrig, ungefüllt;;1;kg;;;;1;;;A1 - A3;3.3;4.52E-08;0.00139;0.00657;0.000832;78.6;21.5;57;5.5;1.57;3.93;5.03E-06;77.5;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ac2df709-316a-4126-aa13-a9ab0964447e;;
Beschichtungen;Beschichtungen;Reaktionsharze;ac2df709-316a-4126-aa13-a9ab0964447e;Abdichtungen im Verbund auf Basis von Epoxidharzen, wässrig, ungefüllt;;1;kg;;;;1;;;A4;0.0251;1.35E-12;-6.85E-05;0.000159;3.95E-05;0.347;;;0.0138;;;1.15E-09;0.347;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ac2df709-316a-4126-aa13-a9ab0964447e;;
Beschichtungen;Beschichtungen;Reaktionsharze;ac2df709-316a-4126-aa13-a9ab0964447e;Abdichtungen im Verbund auf Basis von Epoxidharzen, wässrig, ungefüllt;;1;kg;;;;1;;;A5;0.0908;3.84E-12;0.00722;1.25E-05;2.51E-06;0.0255;;;0.00187;;;1.64E-09;0.0255;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ac2df709-316a-4126-aa13-a9ab0964447e;;
Beschichtungen;Beschichtungen;Reaktionsharze;ac2df709-316a-4126-aa13-a9ab0964447e;Abdichtungen im Verbund auf Basis von Epoxidharzen, wässrig, ungefüllt;;1;kg;;;;1;;;D;-0.157;-6.07E-11;-7.22E-05;-0.000491;-4.10E-05;-1.93;;;-0.0341;;;-6.81E-09;-1.93;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=ac2df709-316a-4126-aa13-a9ab0964447e;;
Beschichtungen;Beschichtungen;Reaktionsharze;a30fd400-4be8-490d-9f79-0e79ca249446;Abdichtungen im Verbund auf Basis von Methacrylatharzen, hochgefüllt, Fließbeschichtungen;;1;kg;;;;1;;;A1 - A3;1.92;3.03E-10;0.00138;0.00684;0.000468;45;9.25;35.8;2.19;0;2.19;1.95E-05;43;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a30fd400-4be8-490d-9f79-0e79ca249446;;
Beschichtungen;Beschichtungen;Reaktionsharze;a30fd400-4be8-490d-9f79-0e79ca249446;Abdichtungen im Verbund auf Basis von Methacrylatharzen, hochgefüllt, Fließbeschichtungen;;1;kg;;;;1;;;A4;0.0274;5.72E-13;-7.56E-05;0.00018;4.48E-05;0.376;;;0.0222;;;1.26E-09;0.374;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a30fd400-4be8-490d-9f79-0e79ca249446;;
Beschichtungen;Beschichtungen;Reaktionsharze;a30fd400-4be8-490d-9f79-0e79ca249446;Abdichtungen im Verbund auf Basis von Methacrylatharzen, hochgefüllt, Fließbeschichtungen;;1;kg;;;;1;;;A5;0.175;2.47E-12;0.00165;2.42E-05;4.59E-06;0.0714;;;0.00942;;;2.83E-09;0.0577;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a30fd400-4be8-490d-9f79-0e79ca249446;;
Beschichtungen;Beschichtungen;Reaktionsharze;a30fd400-4be8-490d-9f79-0e79ca249446;Abdichtungen im Verbund auf Basis von Methacrylatharzen, hochgefüllt, Fließbeschichtungen;;1;kg;;;;1;;;D;-0.267;-3.09E-11;-0.000106;-0.000801;-7.10E-05;-3.4;;;-0.204;;;-1.65E-05;-3.16;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=a30fd400-4be8-490d-9f79-0e79ca249446;;
Beschichtungen;Beschichtungen;Reaktionsharze;115c1a3a-dddd-4507-9df4-c14a0299b422;Abdichtungen im Verbund auf Basis von Methacrylatharzen, hochgefüllt, Mörtel;;1;kg;;;;1;;;A1 - A3;0.976;2.16E-10;0.000602;0.0041;0.000267;19.8;2.77;17.1;1.8;0;1.8;1.91E-05;18.5;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=115c1a3a-dddd-4507-9df4-c14a0299b422;;
Beschichtungen;Beschichtungen;Reaktionsharze;115c1a3a-dddd-4507-9df4-c14a0299b422;Abdichtungen im Verbund auf Basis von Methacrylatharzen, hochgefüllt, Mörtel;;1;kg;;;;1;;;A4;0.0274;5.72E-13;-7.57E-05;0.00018;4.48E-05;0.376;;;0.0222;;;1.26E-09;0.375;;;http://www.oekobaudat.de/OEKOBAU.DAT/datasetdetail/process.xhtml?uuid=115c1a3a-dddd-4507-9df4-c14a0299b422;;
